intermediary	named_1.21.11
class_10017	net.minecraft.client.renderer.entity.state.EntityRenderState
class_10442	net.minecraft.client.renderer.item.ItemModelResolver
class_10444	net.minecraft.client.renderer.item.ItemStackRenderState
class_10515	net.minecraft.client.renderer.special.SpecialModelRenderer
class_10516	net.minecraft.client.renderer.special.SpecialModelRenderer$Unbaked
class_10517	net.minecraft.client.renderer.special.SpecialModelRenderers
class_1101	net.minecraft.client.resources.sounds.AbstractTickableSoundInstance
class_1113	net.minecraft.client.resources.sounds.SoundInstance
class_1114	net.minecraft.client.resources.sounds.SoundInstance$Attenuation
class_11368	net.minecraft.world.level.storage.ValueInput
class_11372	net.minecraft.world.level.storage.ValueOutput
class_11566	net.minecraft.world.entity.ItemOwner
class_11659	net.minecraft.client.renderer.SubmitNodeCollector
class_11683	net.minecraft.client.renderer.feature.ModelFeatureRenderer
class_11695	net.minecraft.client.renderer.special.SpecialModelRenderer$BakingContext
class_11792	net.minecraft.client.renderer.feature.ModelFeatureRenderer$CrumblingOverlay
class_11900	net.minecraft.client.KeyMapping$Category
class_11954	net.minecraft.client.renderer.blockentity.state.BlockEntityRenderState
class_12075	net.minecraft.client.renderer.state.CameraRenderState
class_12087	net.minecraft.server.permissions.Permission
class_12089	net.minecraft.server.permissions.Permission$HasCommandLevel
class_12094	net.minecraft.server.permissions.PermissionLevel
class_12122	net.minecraft.world.item.SwingAnimationType
class_12126	net.minecraft.world.item.component.SwingAnimation
class_12249	net.minecraft.client.renderer.rendertype.RenderTypes
class_1264	net.minecraft.world.Containers
class_1268	net.minecraft.world.InteractionHand
class_1269	net.minecraft.world.InteractionResult
class_1282	net.minecraft.world.damagesource.DamageSource
class_1297	net.minecraft.world.entity.Entity
class_1299	net.minecraft.world.entity.EntityType
class_1300	net.minecraft.world.entity.EntityType$Builder
class_1304	net.minecraft.world.entity.EquipmentSlot
class_1306	net.minecraft.world.entity.HumanoidArm
class_1309	net.minecraft.world.entity.LivingEntity
class_1311	net.minecraft.world.entity.MobCategory
class_1540	net.minecraft.world.entity.item.FallingBlockEntity
class_1657	net.minecraft.world.entity.player.Player
class_1665	net.minecraft.world.entity.projectile.arrow.AbstractArrow
class_1675	net.minecraft.world.entity.projectile.ProjectileUtil
class_1676	net.minecraft.world.entity.projectile.Projectile
class_1747	net.minecraft.world.item.BlockItem
class_1750	net.minecraft.world.item.context.BlockPlaceContext
class_1792	net.minecraft.world.item.Item
class_1793	net.minecraft.world.item.Item$Properties
class_1799	net.minecraft.world.item.ItemStack
class_1921	net.minecraft.client.renderer.rendertype.RenderType
class_1922	net.minecraft.world.level.BlockGetter
class_1937	net.minecraft.world.level.Level
class_2168	net.minecraft.commands.CommandSourceStack
class_2170	net.minecraft.commands.Commands
class_2237	net.minecraft.world.level.block.BaseEntityBlock
class_2246	net.minecraft.world.level.block.Blocks
class_2248	net.minecraft.world.level.block.Block
class_2251	net.minecraft.world.level.block.state.BlockBehaviour$Properties
class_2338	net.minecraft.core.BlockPos
class_2350	net.minecraft.core.Direction
class_2378	net.minecraft.core.Registry
class_238	net.minecraft.world.phys.AABB
class_239	net.minecraft.world.phys.HitResult
class_2390	net.minecraft.core.particles.DustParticleOptions
class_2394	net.minecraft.core.particles.ParticleOptions
class_2398	net.minecraft.core.particles.ParticleTypes
class_240	net.minecraft.world.phys.HitResult$Type
class_242	net.minecraft.world.level.ClipContext$Fluid
class_243	net.minecraft.world.phys.Vec3
class_2464	net.minecraft.world.level.block.RenderShape
class_2487	net.minecraft.nbt.CompoundTag
class_2498	net.minecraft.world.level.block.SoundType
class_2561	net.minecraft.network.chat.Component
class_2586	net.minecraft.world.level.block.entity.BlockEntity
class_259	net.minecraft.world.phys.shapes.Shapes
class_2591	net.minecraft.world.level.block.entity.BlockEntityType
class_2596	net.minecraft.network.protocol.Packet
class_2602	net.minecraft.network.protocol.game.ClientGamePacketListener
class_2622	net.minecraft.network.protocol.game.ClientboundBlockEntityDataPacket
class_265	net.minecraft.world.phys.shapes.VoxelShape
class_2680	net.minecraft.world.level.block.state.BlockState
class_2689	net.minecraft.world.level.block.state.StateDefinition
class_2690	net.minecraft.world.level.block.state.StateDefinition$Builder
class_2709	net.minecraft.world.entity.Relative
class_2741	net.minecraft.world.level.block.state.properties.BlockStateProperties
class_2743	net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket
class_2754	net.minecraft.world.level.block.state.properties.EnumProperty
class_2767	net.minecraft.network.protocol.game.ClientboundSoundPacket
class_2769	net.minecraft.world.level.block.state.properties.Property
class_2940	net.minecraft.network.syncher.EntityDataAccessor
class_2943	net.minecraft.network.syncher.EntityDataSerializers
class_2945	net.minecraft.network.syncher.SynchedEntityData
class_2960	net.minecraft.resources.Identifier
class_304	net.minecraft.client.KeyMapping
class_307	com.mojang.blaze3d.platform.InputConstants$Type
class_310	net.minecraft.client.Minecraft
class_3218	net.minecraft.server.level.ServerLevel
class_3222	net.minecraft.server.level.ServerPlayer
class_3264	net.minecraft.server.packs.PackType
class_3300	net.minecraft.server.packs.resources.ResourceManager
class_332	net.minecraft.client.gui.GuiGraphics
class_3414	net.minecraft.sounds.SoundEvent
class_3419	net.minecraft.sounds.SoundSource
class_3532	net.minecraft.util.Mth
class_3620	net.minecraft.world.level.material.MapColor
class_3675	com.mojang.blaze3d.platform.InputConstants
class_3726	net.minecraft.world.phys.shapes.CollisionContext
class_3959	net.minecraft.world.level.ClipContext
class_3960	net.minecraft.world.level.ClipContext$Block
class_3965	net.minecraft.world.phys.BlockHitResult
class_3966	net.minecraft.world.phys.EntityHitResult
class_4587	com.mojang.blaze3d.vertex.PoseStack
class_4588	com.mojang.blaze3d.vertex.VertexConsumer
class_4604	net.minecraft.client.renderer.culling.Frustum
class_4608	net.minecraft.client.renderer.texture.OverlayTexture
class_4665	com.mojang.blaze3d.vertex.PoseStack$Pose
class_4970	net.minecraft.world.level.block.state.BlockBehaviour
class_5321	net.minecraft.resources.ResourceKey
class_5454	net.minecraft.world.level.portal.TeleportTransition
class_5529	net.minecraft.world.entity.Entity$RemovalReason
class_5614	net.minecraft.client.renderer.blockentity.BlockEntityRendererProvider
class_5615	net.minecraft.client.renderer.blockentity.BlockEntityRendererProvider$Context
