intermediary	named_1.21.11	in_26.2	hint
class_10017	net/minecraft/client/renderer/entity/state/EntityRenderState	yes	
class_10442	net/minecraft/client/renderer/item/ItemModelResolver	yes	
class_10444	net/minecraft/client/renderer/item/ItemStackRenderState	yes	
class_10515	net/minecraft/client/renderer/special/SpecialModelRenderer	yes	
class_10516	net/minecraft/client/renderer/special/SpecialModelRenderer$Unbaked	yes	
class_10517	net/minecraft/client/renderer/special/SpecialModelRenderers	yes	
class_1101	net/minecraft/client/resources/sounds/AbstractTickableSoundInstance	yes	
class_1113	net/minecraft/client/resources/sounds/SoundInstance	yes	
class_1114	net/minecraft/client/resources/sounds/SoundInstance$Attenuation	yes	
class_11368	net/minecraft/world/level/storage/ValueInput	yes	
class_11372	net/minecraft/world/level/storage/ValueOutput	yes	
class_11566	net/minecraft/world/entity/ItemOwner	yes	
class_11659	net/minecraft/client/renderer/SubmitNodeCollector	yes	
class_11683	net/minecraft/client/renderer/feature/ModelFeatureRenderer	yes	
class_11695	net/minecraft/client/renderer/special/SpecialModelRenderer$BakingContext	yes	
class_11792	net/minecraft/client/renderer/feature/ModelFeatureRenderer$CrumblingOverlay	yes	
class_11900	net/minecraft/client/KeyMapping$Category	yes	
class_11954	net/minecraft/client/renderer/blockentity/state/BlockEntityRenderState	yes	
class_12075	net/minecraft/client/renderer/state/CameraRenderState	NO	same simple name at: net/minecraft/client/renderer/state/level/CameraRenderState
class_12087	net/minecraft/server/permissions/Permission	yes	
class_12089	net/minecraft/server/permissions/Permission$HasCommandLevel	yes	
class_12094	net/minecraft/server/permissions/PermissionLevel	yes	
class_12122	net/minecraft/world/item/SwingAnimationType	yes	
class_12126	net/minecraft/world/item/component/SwingAnimation	yes	
class_12249	net/minecraft/client/renderer/rendertype/RenderTypes	yes	
class_1264	net/minecraft/world/Containers	yes	
class_1268	net/minecraft/world/InteractionHand	yes	
class_1269	net/minecraft/world/InteractionResult	yes	
class_1282	net/minecraft/world/damagesource/DamageSource	yes	
class_1297	net/minecraft/world/entity/Entity	yes	
class_1299	net/minecraft/world/entity/EntityType	yes	
class_1300	net/minecraft/world/entity/EntityType$Builder	yes	
class_1304	net/minecraft/world/entity/EquipmentSlot	yes	
class_1306	net/minecraft/world/entity/HumanoidArm	yes	
class_1309	net/minecraft/world/entity/LivingEntity	yes	
class_1311	net/minecraft/world/entity/MobCategory	yes	
class_1540	net/minecraft/world/entity/item/FallingBlockEntity	yes	
class_1657	net/minecraft/world/entity/player/Player	yes	
class_1665	net/minecraft/world/entity/projectile/arrow/AbstractArrow	yes	
class_1675	net/minecraft/world/entity/projectile/ProjectileUtil	yes	
class_1676	net/minecraft/world/entity/projectile/Projectile	yes	
class_1747	net/minecraft/world/item/BlockItem	yes	
class_1750	net/minecraft/world/item/context/BlockPlaceContext	yes	
class_1792	net/minecraft/world/item/Item	yes	
class_1793	net/minecraft/world/item/Item$Properties	yes	
class_1799	net/minecraft/world/item/ItemStack	yes	
class_1921	net/minecraft/client/renderer/rendertype/RenderType	yes	
class_1922	net/minecraft/world/level/BlockGetter	yes	
class_1937	net/minecraft/world/level/Level	yes	
class_2168	net/minecraft/commands/CommandSourceStack	yes	
class_2170	net/minecraft/commands/Commands	yes	
class_2237	net/minecraft/world/level/block/BaseEntityBlock	yes	
class_2246	net/minecraft/world/level/block/Blocks	yes	
class_2248	net/minecraft/world/level/block/Block	yes	
class_2251	net/minecraft/world/level/block/state/BlockBehaviour$Properties	yes	
class_2338	net/minecraft/core/BlockPos	yes	
class_2350	net/minecraft/core/Direction	yes	
class_2378	net/minecraft/core/Registry	yes	
class_238	net/minecraft/world/phys/AABB	yes	
class_239	net/minecraft/world/phys/HitResult	yes	
class_2390	net/minecraft/core/particles/DustParticleOptions	yes	
class_2394	net/minecraft/core/particles/ParticleOptions	yes	
class_2398	net/minecraft/core/particles/ParticleTypes	yes	
class_240	net/minecraft/world/phys/HitResult$Type	yes	
class_242	net/minecraft/world/level/ClipContext$Fluid	yes	
class_243	net/minecraft/world/phys/Vec3	yes	
class_2464	net/minecraft/world/level/block/RenderShape	yes	
class_2487	net/minecraft/nbt/CompoundTag	yes	
class_2498	net/minecraft/world/level/block/SoundType	yes	
class_2561	net/minecraft/network/chat/Component	yes	
class_2586	net/minecraft/world/level/block/entity/BlockEntity	yes	
class_259	net/minecraft/world/phys/shapes/Shapes	yes	
class_2591	net/minecraft/world/level/block/entity/BlockEntityType	yes	
class_2596	net/minecraft/network/protocol/Packet	yes	
class_2602	net/minecraft/network/protocol/game/ClientGamePacketListener	yes	
class_2622	net/minecraft/network/protocol/game/ClientboundBlockEntityDataPacket	yes	
class_265	net/minecraft/world/phys/shapes/VoxelShape	yes	
class_2680	net/minecraft/world/level/block/state/BlockState	yes	
class_2689	net/minecraft/world/level/block/state/StateDefinition	yes	
class_2690	net/minecraft/world/level/block/state/StateDefinition$Builder	yes	
class_2709	net/minecraft/world/entity/Relative	yes	
class_2741	net/minecraft/world/level/block/state/properties/BlockStateProperties	yes	
class_2743	net/minecraft/network/protocol/game/ClientboundSetEntityMotionPacket	yes	
