intermediary	owner_named	field_named	owner_in_26.2	field_in_26.2
field_10027	net/minecraft/world/level/block/Blocks	END_PORTAL	yes	yes
field_10260	net/minecraft/world/level/block/Blocks	SPAWNER	yes	yes
field_10316	net/minecraft/world/level/block/Blocks	NETHER_PORTAL	yes	yes
field_10398	net/minecraft/world/level/block/Blocks	END_PORTAL_FRAME	yes	yes
field_10613	net/minecraft/world/level/block/Blocks	END_GATEWAY	yes	yes
field_11033	net/minecraft/core/Direction	DOWN	yes	yes
field_11034	net/minecraft/core/Direction	EAST	yes	yes
field_11035	net/minecraft/core/Direction	SOUTH	yes	yes
field_11036	net/minecraft/core/Direction	UP	yes	yes
field_11039	net/minecraft/core/Direction	WEST	yes	yes
field_11043	net/minecraft/core/Direction	NORTH	yes	yes
field_11233	net/minecraft/core/particles/ParticleTypes	SQUID_INK	yes	yes
field_11458	net/minecraft/world/level/block/RenderShape	MODEL	yes	yes
field_11533	net/minecraft/world/level/block/SoundType	METAL	yes	yes
field_11863	net/minecraft/world/level/block/entity/BlockEntity	level	yes	yes
field_11867	net/minecraft/world/level/block/entity/BlockEntity	worldPosition	yes	yes
field_12481	net/minecraft/world/level/block/state/properties/BlockStateProperties	HORIZONTAL_FACING	yes	yes
field_1332	net/minecraft/world/phys/HitResult$Type	BLOCK	yes	yes
field_13323	net/minecraft/network/syncher/EntityDataSerializers	BOOLEAN	yes	yes
field_13326	net/minecraft/network/syncher/EntityDataSerializers	STRING	yes	yes
field_13327	net/minecraft/network/syncher/EntityDataSerializers	INT	yes	yes
field_1347	net/minecraft/world/level/ClipContext$Fluid	ANY	yes	yes
field_1350	net/minecraft/world/phys/Vec3	z	yes	yes
field_1351	net/minecraft/world/phys/Vec3	y	yes	yes
field_1352	net/minecraft/world/phys/Vec3	x	yes	yes
field_1353	net/minecraft/world/phys/Vec3	ZERO	yes	yes
field_13987	net/minecraft/server/level/ServerPlayer	connection	yes	yes
field_14140	net/minecraft/server/network/ServerGamePacketListenerImpl	player	yes	yes
field_14188	net/minecraft/server/packs/PackType	CLIENT_RESOURCES	yes	yes
field_15248	net/minecraft/sounds/SoundSource	PLAYERS	yes	yes
field_15979	net/minecraft/world/level/material/MapColor	WOOL	yes	yes
field_16008	net/minecraft/world/level/material/MapColor	NONE	yes	yes
field_16011	net/minecraft/world/level/material/MapColor	col	yes	yes
field_1668	com/mojang/blaze3d/platform/InputConstants$Type	KEYSYM	yes	yes
field_1687	net/minecraft/client/Minecraft	level	yes	yes
field_1690	net/minecraft/client/Minecraft	options	yes	yes
field_1724	net/minecraft/client/Minecraft	player	yes	yes
field_17559	net/minecraft/world/level/ClipContext$Block	OUTLINE	yes	yes
field_1761	net/minecraft/client/Minecraft	gameMode	yes	yes
field_17715	net/minecraft/world/entity/MobCategory	MISC	yes	yes
field_1886	net/minecraft/client/Options	keyAttack	yes	yes
field_18936	net/minecraft/client/resources/sounds/AbstractSoundInstance	relative	yes	yes
field_1904	net/minecraft/client/Options	keyUse	yes	yes
field_21444	net/minecraft/client/renderer/texture/OverlayTexture	NO_OVERLAY	yes	yes
field_21466	net/minecraft/world/InteractionResult	CONSUME	yes	yes
field_23190	net/minecraft/core/particles/ParticleTypes	REVERSE_PORTAL	yes	yes
field_24671	net/minecraft/world/item/ItemStack	CODEC	yes	yes
field_25179	net/minecraft/world/level/Level	OVERWORLD	yes	yes
field_25180	net/minecraft/world/level/Level	NETHER	yes	yes
field_25181	net/minecraft/world/level/Level	END	yes	yes
field_3712	net/minecraft/client/multiplayer/MultiPlayerGameMode	minecraft	yes	yes
field_40197	net/minecraft/world/item/CreativeModeTabs	FUNCTIONAL_BLOCKS	yes	yes
field_40714	com/mojang/math/Axis	XP	yes	yes
field_40716	com/mojang/math/Axis	YP	yes	yes
field_40718	com/mojang/math/Axis	ZP	yes	yes
field_41060	net/minecraft/world/item/CreativeModeTabs	TOOLS_AND_UTILITIES	yes	yes
field_41172	net/minecraft/core/registries/BuiltInRegistries	SOUND_EVENT	yes	yes
field_41175	net/minecraft/core/registries/BuiltInRegistries	BLOCK	yes	yes
field_41177	net/minecraft/core/registries/BuiltInRegistries	ENTITY_TYPE	yes	yes
field_41178	net/minecraft/core/registries/BuiltInRegistries	ITEM	yes	yes
field_41181	net/minecraft/core/registries/BuiltInRegistries	BLOCK_ENTITY_TYPE	yes	yes
field_41197	net/minecraft/core/registries/Registries	ITEM	yes	yes
field_41254	net/minecraft/core/registries/Registries	BLOCK	yes	yes
field_41266	net/minecraft/core/registries/Registries	ENTITY_TYPE	yes	yes
field_4315	net/minecraft/world/item/ItemDisplayContext	NONE	yes	yes
field_4321	net/minecraft/world/item/ItemDisplayContext	FIRST_PERSON_LEFT_HAND	yes	yes
field_4322	net/minecraft/world/item/ItemDisplayContext	FIRST_PERSON_RIGHT_HAND	yes	yes
field_48347	net/minecraft/world/entity/projectile/ProjectileDeflection	NONE	yes	yes
field_48547	net/minecraft/network/codec/ByteBufCodecs	BOOL	yes	yes
field_49628	net/minecraft/core/component/DataComponents	CUSTOM_DATA	yes	yes
field_49637	net/minecraft/core/component/DataComponents	CUSTOM_MODEL_DATA	yes	yes
field_52247	net/minecraft/world/level/portal/TeleportTransition	PLACE_PORTAL_TICKET	yes	yes
field_52422	net/minecraft/world/InteractionResult	SUCCESS_SERVER	yes	yes
