intermediary	owner_named	method_named	owner_in_26.2	method_in_26.2
method_1006	net/minecraft/world/phys/AABB	contains	yes	yes
method_10063	net/minecraft/core/BlockPos	asLong	yes	yes
method_10067	net/minecraft/core/BlockPos	west	yes	yes
method_10069	net/minecraft/core/BlockPos	offset	yes	yes
method_10072	net/minecraft/core/BlockPos	south	yes	yes
method_10074	net/minecraft/core/BlockPos	below	yes	yes
method_10078	net/minecraft/core/BlockPos	east	yes	yes
method_10079	net/minecraft/core/BlockPos	relative	yes	yes
method_10084	net/minecraft/core/BlockPos	above	yes	yes
method_10092	net/minecraft/core/BlockPos	of	yes	yes
method_10093	net/minecraft/core/BlockPos	relative	yes	yes
method_10095	net/minecraft/core/BlockPos	north	yes	yes
method_1011	net/minecraft/world/phys/AABB	deflate	yes	yes
method_10123	net/minecraft/world/level/block/EntityBlock	newBlockEntity	yes	yes
method_1014	net/minecraft/world/phys/AABB	inflate	yes	yes
method_10144	net/minecraft/core/Direction	toYRot	yes	yes
method_10148	net/minecraft/core/Direction	getStepX	yes	yes
method_10150	net/minecraft/core/Direction	fromYRot	yes	yes
method_10151	net/minecraft/core/Direction	getName	yes	yes
method_10153	net/minecraft/core/Direction	getOpposite	yes	yes
method_10164	net/minecraft/core/Direction	getStepY	yes	yes
method_10165	net/minecraft/core/Direction	getStepZ	yes	yes
method_10168	net/minecraft/core/Direction	byName	yes	yes
method_1019	net/minecraft/world/phys/Vec3	add	yes	yes
method_1020	net/minecraft/world/phys/Vec3	subtract	yes	yes
method_1021	net/minecraft/world/phys/Vec3	scale	yes	yes
method_1022	net/minecraft/world/phys/Vec3	distanceTo	yes	yes
method_10230	net/minecraft/core/Registry	register	yes	yes
method_1025	net/minecraft/world/phys/Vec3	distanceToSqr	yes	yes
method_1026	net/minecraft/world/phys/Vec3	dot	yes	yes
method_10260	net/minecraft/core/Vec3i	getZ	yes	yes
method_10263	net/minecraft/core/Vec3i	getX	yes	yes
method_10264	net/minecraft/core/Vec3i	getY	yes	yes
method_1027	net/minecraft/world/phys/Vec3	lengthSqr	yes	yes
method_1029	net/minecraft/world/phys/Vec3	normalize	yes	yes
method_1030	net/minecraft/world/phys/Vec3	directionFromRotation	yes	yes
method_1031	net/minecraft/world/phys/Vec3	add	yes	yes
method_1033	net/minecraft/world/phys/Vec3	length	yes	yes
method_1036	net/minecraft/world/phys/Vec3	cross	yes	yes
method_10551	net/minecraft/nbt/CompoundTag	remove	yes	yes
method_10556	net/minecraft/nbt/CompoundTag	putBoolean	yes	yes
method_10569	net/minecraft/nbt/CompoundTag	putInt	yes	yes
method_1073	net/minecraft/world/phys/shapes/Shapes	empty	yes	yes
method_10804	net/minecraft/network/FriendlyByteBuf	writeVarInt	yes	yes
method_10816	net/minecraft/network/FriendlyByteBuf	readVarInt	yes	yes
method_1084	net/minecraft/world/phys/shapes/Shapes	or	yes	yes
method_1097	net/minecraft/world/phys/shapes/VoxelShape	optimize	yes	yes
method_11007	net/minecraft/world/level/block/entity/BlockEntity	saveAdditional	yes	yes
method_11010	net/minecraft/world/level/block/entity/BlockEntity	getBlockState	yes	yes
method_11014	net/minecraft/world/level/block/entity/BlockEntity	loadAdditional	yes	yes
method_11016	net/minecraft/world/RandomizableContainer	getBlockPos	yes	yes
method_1110	net/minecraft/world/phys/shapes/VoxelShape	isEmpty	yes	yes
method_11654	net/minecraft/world/level/block/state/StateHolder	getValue	yes	yes
method_11657	net/minecraft/world/level/block/state/StateHolder	setValue	yes	yes
method_11664	net/minecraft/world/level/block/state/StateDefinition	any	yes	yes
method_11667	net/minecraft/world/level/block/state/StateDefinition$Builder	add	yes	yes
method_12778	net/minecraft/network/syncher/SynchedEntityData	set	yes	yes
method_12789	net/minecraft/network/syncher/SynchedEntityData	get	yes	yes
method_12791	net/minecraft/network/syncher/SynchedEntityData	defineId	yes	yes
method_1336	com/mojang/blaze3d/vertex/VertexConsumer	setColor	yes	yes
method_1434	net/minecraft/client/KeyMapping	isDown	yes	yes
method_1436	net/minecraft/client/KeyMapping	consumeClick	yes	yes
method_14363	net/minecraft/server/network/ServerGamePacketListenerImpl	teleport	yes	yes
method_14364	net/minecraft/server/network/ServerCommonPacketListenerImpl	send	yes	yes
method_14491	net/minecraft/server/packs/resources/ResourceManagerReloadListener	onResourceManagerReload	yes	yes
method_14571	net/minecraft/server/players/PlayerList	getPlayers	yes	yes
method_14602	net/minecraft/server/players/PlayerList	getPlayer	yes	yes
method_1483	net/minecraft/client/Minecraft	getSoundManager	yes	yes
method_15349	net/minecraft/util/Mth	atan2	yes	yes
method_15393	net/minecraft/util/Mth	wrapDegrees	yes	yes
method_1551	net/minecraft/client/Minecraft	getInstance	yes	yes
method_16194	net/minecraft/world/phys/shapes/CollisionContext	empty	yes	yes
method_16887	net/minecraft/world/level/block/entity/BlockEntity	getUpdateTag	yes	yes
method_16896	net/minecraft/world/level/block/entity/BeaconBlockEntity	tick	yes	yes
method_17681	net/minecraft/world/entity/Entity	getBbWidth	yes	yes
method_17682	net/minecraft/world/entity/Entity	getBbHeight	yes	yes
method_17687	net/minecraft/world/entity/EntityType$Builder	sized	yes	yes
method_17742	net/minecraft/world/level/BlockGetter	clip	yes	yes
method_17777	net/minecraft/world/phys/BlockHitResult	getBlockPos	yes	yes
method_17780	net/minecraft/world/phys/BlockHitResult	getDirection	yes	yes
method_17783	net/minecraft/world/phys/HitResult	getType	yes	yes
method_17784	net/minecraft/world/phys/HitResult	getLocation	yes	yes
method_18075	net/minecraft/world/entity/projectile/ProjectileUtil	getEntityHitResult	yes	yes
method_18112	net/minecraft/client/multiplayer/ClientLevel	entitiesForRendering	yes	yes
method_18376	net/minecraft/world/entity/Entity	getPose	yes	yes
method_18381	net/minecraft/world/entity/Entity	getEyeHeight	yes	yes
method_18798	net/minecraft/world/entity/Entity	getDeltaMovement	yes	yes
method_18799	net/minecraft/world/entity/Entity	setDeltaMovement	yes	yes
method_18800	net/minecraft/world/entity/Entity	setDeltaMovement	yes	yes
method_18804	net/minecraft/world/phys/AABB	expandTowards	yes	yes
method_20812	net/minecraft/world/level/CollisionGetter	getBlockCollisions	yes	yes
method_22335	net/minecraft/world/level/BlockAndTintGetter	getRawBrightness	NO	NO
